,dates,AOD
0,2020-01-01,0.6221666932106018
1,2020-01-09,0.40990906953811646
2,2020-01-17,0.21054545044898987
3,2020-01-25,0.49775001406669617
4,2020-02-02,0.7386249303817749
5,2020-02-10,0.5122500658035278
6,2020-02-18,0.906000018119812
7,2020-02-26,0.7450833916664124
8,2020-03-06,0.5301110744476318
9,2020-03-14,0.5800833106040955
10,2020-03-22,0.4861111044883728
11,2020-03-30,0.2513333261013031
12,2020-04-07,0.4790000021457672
13,2020-04-15,0.4754166305065155
14,2020-04-23,0.7381666302680969
15,2020-05-01,0.4938333034515381
16,2020-05-09,0.6285832524299622
17,2020-05-17,0.4415833652019501
18,2020-05-25,0.39775002002716064
19,2020-06-02,0.8458333015441895
20,2020-06-10,0.6884166598320007
21,2020-06-18,0.5425454378128052
22,2020-06-26,1.0
23,2020-07-04,0.6969999670982361
24,2020-07-12,0.9861666560173035
25,2020-07-20,
26,2020-07-28,0.9200000166893005
